gene,description
Solyc12g009450.3.1 ,NBS-LRR protein (AHRD V3.3 *** Q9SM52_SOLAC)
Solyc12g009460.1.1 ,Disease resistance protein (CC-NBS-LRR class) family (AHRD V3.3 *** AT5G35450.2)
Solyc12g009470.2.1 ,yellow-green-2
Solyc12g009480.2.1 ,SPX domain-containing protein (AHRD V3.3 *** A0A1Q3BK26_CEPFO)
Solyc12g009490.4.1 ,ethylene-responsive transcription factor WIN1-like (AHRD V3.11 *** tr|A0A2I4GTJ5|A0A2I4GTJ5_9ROSI)
Solyc12g009500.2.1 ,Elongator complex protein 6 (AHRD V3.3 *** A0A2G2YVI7_CAPAN)
Solyc12g009510.1.1 ,receptor-like protein 12 (AHRD V3.3 *** A0A1S4DP57_TOBAC)
Solyc12g009520.2.1 ,receptor-like protein 12 (AHRD V3.3 *** A0A1S4DP57_TOBAC)
Solyc12g009530.1.1 ,receptor-like protein 12 (AHRD V3.3 *-* A0A1S4DP57_TOBAC)
Solyc12g009560.2.1 ,EIN3-binding F-box protein 1
Solyc12g009565.1.1 ,Unknown protein
Solyc12g009570.3.1 ,calcineurin B-like interacting protein kinase
Solyc12g009580.2.1 ,CRABS CLAW  5b
Solyc12g009590.2.1 ,Methyl-CpG-binding domain-containing protein .1
Solyc12g009610.2.1 ,RabGAP/TBC domain-containing protein (AHRD V3.3 *** A0A2U1MDC7_ARTAN)
Solyc12g009620.2.1 ,Ubiquitin system component Cue protein (AHRD V3.3 *** F4KED5_ARATH)
Solyc12g009630.3.1 ,Calmodulin-like protein 5 (AHRD V3.3 *-* A0A2G2YVH8_CAPAN)
Solyc12g009640.1.1 ,zinc finger BED domain-containing protein DAYSLEEPER-like (AHRD V3.3 *** A0A2I4F531_9ROSI)
Solyc12g009650.2.1 ,Sl proline-rich protein
Solyc12g009660.3.1 ,Exostosin-like protein (AHRD V3.3 *** A0A2U1PY49_ARTAN)
Solyc12g009670.1.1 ,Exostosin-like (AHRD V3.3 *-* A0A200PNR7_9MAGN)
Solyc12g009680.2.1 ,Heptahelical transmembrane protein.1
Solyc12g009690.1.1 ,receptor-like protein 12 (AHRD V3.3 *-* A0A1S4DP57_TOBAC)
Solyc12g009695.1.1 ,Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1MY23_ARTAN)
Solyc12g009710.1.1 ,synaptotagmin-5-like isoform X2 (AHRD V3.3 *-* XP_025884538.1)
Solyc12g009730.3.1 ,receptor-like protein 12 (AHRD V3.3 *** A0A1S4DP57_TOBAC)
Solyc12g009760.1.1 ,Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *-* A0A2U1MY23_ARTAN)
Solyc12g009770.2.1 ,Unknown protein
Solyc12g009780.1.1 ,receptor-like protein 12 (AHRD V3.3 *** A0A1S3Y203_TOBAC)
Solyc12g009790.2.1 ,Calcium-dependent lipid-binding (CaLB domain) family protein (AHRD V3.3 *** A0A2U1MY23_ARTAN)
Solyc12g009800.3.1 ,Purple acid phosphatase (AHRD V3.3 *** M1AD80_SOLTU)
Solyc12g009820.2.1 ,"Monogalactosyldiacylglycerol synthase 3, chloroplastic (AHRD V3.3 *** A0A2G2X4B3_CAPBA)"
Solyc12g009830.2.1 ,RING/U-box superfamily protein (AHRD V3.3 *-* Q8L7K7_ARATH)
Solyc12g009840.2.1 ,Pyrophosphate-energized vacuolar membrane proton pump (AHRD V3.3 *** A0A2G3BP86_CAPCH)
Solyc12g009850.1.1 ,Egg cell-secreted-like protein (DUF1278) (AHRD V3.3 *-* Q3EAM7_ARATH)
Solyc12g009860.3.1 ,nucleolin-like (AHRD V3.3 *** XP_004251738.1)
Solyc12g009870.2.1 ,F-box/LRR-repeat protein 14-like (AHRD V3.3 *** A0A2I4G8X3_9ROSI)
Solyc12g009875.1.1 ,Unknown protein
Solyc12g009880.1.1 ,Serine-rich protein (AHRD V3.3 *** E5GCC5_CUCME)
Solyc12g009890.3.1 ,V-type proton ATPase subunit H (AHRD V3.3 *** A0A2G2X4D2_CAPBA)
Solyc12g009900.4.1 ,zein-binding protein (Protein of unknown function%2C DUF593) Chr5:23429406-23430860 REVERSE LENGTH=387 201606 (AHRD V3.11 *-* AT5G57830.1)
Solyc12g009910.1.1 ,Glycosyltransferase (AHRD V3.3 *** A0A288W8G2_GARJA)
Solyc12g009920.1.1 ,Glycosyltransferase (AHRD V3.3 *-* A0A288W8G2_GARJA)
Solyc12g009930.3.1 ,Glycosyltransferase (AHRD V3.3 *** A0A288W8G2_GARJA)
Solyc12g009940.3.1 ,Glycosyltransferase (AHRD V3.11 *** tr|A0A0A1WDH9|A0A0A1WDH9_NICAT)
Solyc12g009950.3.1 ,Peroxidase (AHRD V3.11 *** tr|K4DC83|K4DC83_SOLLC)
Solyc12g009960.2.1 ,Eukaryotic translation initiation factor isoform 4G.1
Solyc12g009970.2.1 ,hypothetical protein (AHRD V3.3 *** AT4G30630.1)
Solyc12g009980.2.1 ,Nucleoid-associated protein (AHRD V3.3 *** A0A1J3J8Y5_NOCCA)
Solyc12g009990.2.1 ,Signal recognition particle receptor subunit alpha (AHRD V3.3 *** A0A2G2YVH0_CAPAN)
Solyc12g010000.3.1 ,early nodulin-like protein.1
Solyc12g010010.2.1 ,Cyclic nucleotide-gated channel 6 (AHRD V3.3 *** A0A2U1KIM7_ARTAN)
Solyc12g010020.3.1 ,Leucine aminopeptidase A1
Solyc12g010030.3.1 ,"Leucine aminopeptidase, chloroplastic (AHRD V3.3 *** AMPL_SOLTU)"
Solyc12g010040.2.1 ,leucine aminopeptidase A
Solyc12g010050.2.1 ,DNA-3-methyladenine glycosylase I (AHRD V3.3 *** A0A2I0WS59_9ASPA)
Solyc12g010060.2.1 ,Eukaryotic translation initiation factor 5A (AHRD V3.3 *** Q6S021_CAPAN)
Solyc12g010070.1.1 ,Unknown protein
Solyc12g010077.2.1 ,"Elongation factor Ts, mitochondrial (AHRD V3.11 *-* tr|A0A2G3BP52|A0A2G3BP52_CAPCH)"
Solyc12g010080.1.1 ,BTB/POZ domain-containing protein (AHRD V3.3 *** A0A2G2WAS9_CAPBA)
Solyc12g010090.1.1 ,BTB/POZ domain-containing protein (AHRD V3.3 *-* A0A1J3EXP5_NOCCA)
Solyc12g010100.1.1 ,BTB/POZ domain-containing protein (AHRD V3.3 *** A0A2G2WAS9_CAPBA)
Solyc12g010110.3.1 ,Formin-like protein (AHRD V3.3 *** A0A2G3BXE8_CAPCH)
Solyc12g150103.1.1 ,Unknown protein
Solyc12g010120.2.1 ,Reticulon-like protein (AHRD V3.3 *** A0A2G2X4H4_CAPBA)
Solyc12g010130.1.1 ,Non-specific serine/threonine protein kinase (AHRD V3.3 *** G4XMX2_SOLLC)
Solyc12g010140.2.1 ,Unknown protein
Solyc12g010150.3.1 ,Cytochrome c oxidase%2C subunit Vib family protein (AHRD V3.3 *** AT5G58005.2)
Solyc12g010160.1.1 ,Unknown protein
Solyc12g010170.2.1 ,bHLH transcription factor 070
Solyc12g010180.2.1 ,Anthranilate synthase component II (AHRD V3.3 *** B6T2R9_MAIZE)
Solyc12g010190.1.1 ,Unknown protein
Solyc12g010200.2.1 ,Hexosyltransferase (AHRD V3.3 *** A0A2G3CCZ7_CAPCH)
Solyc12g010210.2.1 ,Eukaryotic translation initiation factor 6 (AHRD V3.3 *** A0A2I4DGM7_9ROSI)
Solyc12g010220.3.1 ,ABC transporter ATP-binding protein (AHRD V3.3 *** A0A365X934_9ACTN)
Solyc12g010230.2.1 ,Calcineurin-like metallo-phosphoesterase superfamily protein (AHRD V3.3 *** A0A2U1LQM8_ARTAN)
Solyc12g010250.1.1 ,Unknown protein
Solyc12g010270.1.1 ,Unknown protein
Solyc12g010280.1.1 ,Unknown protein
Solyc12g010290.1.1 ,Unknown protein
Solyc12g010300.1.1 ,Unknown protein
Solyc12g010310.2.1 ,Unknown protein
Solyc12g010320.2.1 ,temperature-induced lipocalin
Solyc12g010330.2.1 ,Two-component response regulator (AHRD V3.3 *** A0A2G2X4J0_CAPBA)
Solyc12g010340.3.1 ,PHD finger-like domain-containing protein 5A (AHRD V3.3 *** A0A1U8E1D6_CAPAN)
Solyc12g010350.3.1 ,60S ribosomal protein L39 (AHRD V3.3 *** B6SP72_MAIZE)
Solyc12g010360.2.1 ,Plasma membrane ATPase (AHRD V3.3 *** A0A1U8E8S2_CAPAN)
Solyc12g010370.1.1 ,protein ULTRAPETALA 1-like (AHRD V3.3 *** A0A2I4DNL4_9ROSI)
Solyc12g010380.3.1 ,Adenylate kinase (AHRD V3.3 *** A0A2U1NM67_ARTAN)
Solyc12g010390.2.1 ,Transmembrane 9 superfamily member (AHRD V3.3 *** A0A2G3CD11_CAPCH)
Solyc12g010400.2.1 ,hypothetical protein (AHRD V3.3 *-* AT2G46490.1)
Solyc12g010410.4.1 ,Homeobox protein knotted-1-like 3 (AHRD V3.11 *** tr|A0A1U8H944|A0A1U8H944_CAPAN)
Solyc12g010420.1.1 ,hypothetical protein (AHRD V3.3 --* AT5G11070.1)
Solyc12g010430.1.1 ,hypothetical protein (AHRD V3.3 --* AT5G35090.1)
Solyc12g010440.3.1 ,Glycerol-3-phosphate transporter 5-like protein (AHRD V3.3 *** A0A2K3L617_TRIPR)
Solyc12g010450.3.1 ,Protein phosphatase 2C (AHRD V3.3 *** B4FDN2_MAIZE)
Solyc12g010460.2.1 ,Unknown protein
Solyc12g010470.4.1 ,PLATZ transcription factor family protein (AHRD V3.11 *** tr|A0A2U1NVF3|A0A2U1NVF3_ARTAN)
Solyc12g010480.2.1 ,Heptahelical transmembrane protein 2 (AHRD V3.3 *** A0A2G3CD54_CAPCH)
Solyc12g010490.3.1 ,AP2-like ethylene-responsive transcription factor (AHRD V3.3 *** A0A2G2YVB3_CAPAN)
Solyc12g010500.4.1 ,RING/U-box superfamily protein (AHRD V3.11 *-* tr|A0A2U1NQN4|A0A2U1NQN4_ARTAN)
Solyc12g010510.2.1 ,Oxysterol-binding protein-related protein 2B (AHRD V3.3 *** A0A2G3CD16_CAPCH)
Solyc12g010520.3.1 ,Eukaryotic peptide chain release factor subunit.1
Solyc12g010530.3.1 ,ENTH/ANTH/VHS superfamily protein (AHRD V3.3 *** A0A2U1N0Z9_ARTAN)
Solyc12g010540.1.1 ,UDP-glucuronate 4-epimerase 4 (AHRD V3.3 *** A0A1U8F5Z6_CAPAN)
Solyc12g010550.1.1 ,counting factor 45-1-like (AHRD V3.3 --* XP_013669773.1)
Solyc12g010560.3.1 ,GDSL esterase/lipase (AHRD V3.3 *** A0A2G3CD35_CAPCH)
Solyc12g010570.1.1 ,Tetraspanin (AHRD V3.3 *** A0A200Q8V3_9MAGN)
Solyc12g010580.3.1 ,Protein ECERIFERUM 3 (AHRD V3.11 *-* tr|A0A2G2YVD3|A0A2G2YVD3_CAPAN)
Solyc12g010585.1.1 ,transcription factor bHLH36-like (AHRD V3.3 *** A0A2I4FJG0_9ROSI)
Solyc12g010590.4.1 ,O-acyltransferase WSD1 (AHRD V3.11 *** tr|A0A2I0WMJ2|A0A2I0WMJ2_9ASPA)
Solyc12g010595.2.1 ,transcription factor bHLH36-like (AHRD V3.11 *** tr|A0A2I4FJG0|A0A2I4FJG0_9ROSI)
Solyc12g010610.3.1 ,Unknown protein
Solyc12g010620.1.1 ,Unknown protein
Solyc12g010630.1.1 ,Unknown protein
Solyc12g010640.3.1 ,hypothetical protein (AHRD V3.3 --* AT5G57790.4)
Solyc12g010650.1.1 ,Mitochondrial transcription termination factor family protein (AHRD V3.3 *** Q9SD94_ARATH)
Solyc12g010660.1.1 ,NBS-LRR protein (AHRD V3.3 *-* Q9SM52_SOLAC)
Solyc12g010670.1.1 ,E3 ubiquitin-protein ligase RMA1.1
Solyc12g010680.3.1 ,Acetyltransferase (AHRD V3.3 *** B6TUE4_MAIZE)
Solyc12g010690.2.1 ,Polyol monosaccharide transporter 3
Solyc12g010700.2.1 ,Regulator of Vps4 activity in the MVB pathway protein (AHRD V3.3 *-* A0A2U1Q5E5_ARTAN)
Solyc12g010710.1.1 ,Unknown protein
Solyc12g010720.1.1 ,Protein EPIDERMAL PATTERNING FACTOR.1
Solyc12g010730.2.1 ,DUF789 domain-containing protein (AHRD V3.3 *** A0A1Q3CP56_CEPFO)
Solyc12g010740.3.1 ,protein STRUBBELIG-RECEPTOR FAMILY 3-like (AHRD V3.3 *** A0A1U8E575_CAPAN)
Solyc12g010750.2.1 ,Secretory carrier-associated membrane protein (AHRD V3.3 *** A0A2G3B9M4_CAPCH)
Solyc12g010755.1.1 ,protein ULTRAPETALA 1-like (AHRD V3.3 *** A0A2I4DNL4_9ROSI)
Solyc12g010770.1.1 ,Unknown protein
Solyc12g010780.3.1 ,RING/U-box superfamily protein (AHRD V3.11 *-* tr|A0A2U1PN10|A0A2U1PN10_ARTAN)
Solyc12g010790.2.1 ,RAB GTPase (AHRD V3.3 *** A0A2U1Q460_ARTAN)
Solyc12g010800.2.1 ,Basic-leucine zipper (BZIP) transcription factor family protein (AHRD V3.3 *** A0A1I9LST2_ARATH)
Solyc12g010810.1.1 ,LOB domain-containing protein 2 (AHRD V3.3 *** A0A2G3BMI6_CAPCH)
Solyc12g161280.1.1 ,UBN2_3 domain-containing protein (AHRD V3.11 *-* tr|A0A1Q3AW65|A0A1Q3AW65_CEPFO)
Solyc12g010820.2.1 ,Late embryogenesis abundant protein (AHRD V3.3 *-* A0A200QFG9_9MAGN)
Solyc12g010830.2.1 ,hypothetical protein (AHRD V3.3 *-* AT2G31130.6)
Solyc12g010840.2.1 ,Ketol-acid reductoisomerase (AHRD V3.3 *** M1ADA6_SOLTU)
Solyc12g010850.1.1 ,hypothetical protein (AHRD V3.3 *-* AT1G06320.1)
Solyc12g010860.2.1 ,tft8
Solyc12g010870.4.1 ,ATP synthase protein I-related protein (AHRD V3.11 *** tr|A0A2U1Q771|A0A2U1Q771_ARTAN)
Solyc12g010890.2.1 ,trihelix transcription factor ASIL1-like (AHRD V3.3 *** A0A2I4FFS5_9ROSI)
Solyc12g010900.1.1 ,F-box protein MAX2 (AHRD V3.3 *** A0A2G2X2R2_CAPBA)
Solyc12g010910.2.1 ,Phospholipase A1-IIdelta (AHRD V3.3 *** A0A2G2YTM0_CAPAN)
Solyc12g010920.2.1 ,Oleosin (AHRD V3.3 *** A0A2G2YTI7_CAPAN)
Solyc12g010930.2.1 ,60S ribosomal protein L.1
Solyc12g010940.1.1 ,DUF1685 family protein (AHRD V3.3 *-* AT2G42760.1)
Solyc12g010950.2.1 ,2-alkenal reductase (NADP(+)-dependent) (AHRD V3.3 *** A0A1U8EE67_CAPAN)
Solyc12g010960.2.1 ,2-alkenal reductase (NADP(+)-dependent) (AHRD V3.3 *** A0A2G2WX40_CAPBA)
Solyc12g010980.3.1 ,HXXXD-type acyl-transferase family protein (AHRD V3.3 *** F4JBC7_ARATH)
Solyc12g010990.3.1 ,Nucleotide/sugar transporter family protein (AHRD V3.3 *** A0A2U1QA65_ARTAN)
Solyc12g161350.1.1 ,F-box protein (AHRD V3.11 *-* tr|A0A2K3MEM6|A0A2K3MEM6_TRIPR)
Solyc12g011000.2.1 ,Citrate synthase (AHRD V3.3 *** A0A2G3BMF7_CAPCH)
Solyc12g011010.2.1 ,Protodermal factor.1
Solyc12g011020.2.1 ,Haloacid dehalogenase (HAD) superfamily protein (AHRD V3.3 *** A0A2U1ND25_ARTAN)
Solyc12g011023.1.1 ,Xyloglucan endotransglucosylase/hydrolase (AHRD V3.3 *** Q6RHX7_SOLLC)
Solyc12g011027.1.1 ,protein FAR1-RELATED SEQUENCE 5-like (AHRD V3.3 *** A0A2I4FDV7_9ROSI)
Solyc12g011030.3.1 ,xyloglucan endotransglucosylase-hydrolase 9
Solyc12g011037.2.1 ,Lipoxygenase (AHRD V3.11 *-* tr|K4DCJ0|K4DCJ0_SOLLC)
Solyc12g011050.2.1 ,Flowering time control protein FPA (AHRD V3.3 *** A0A2G3BMA4_CAPCH)
Solyc12g011060.3.1 ,Zinc finger protein (AHRD V3.3 *** A0A200PQI4_9MAGN)
Solyc12g011070.3.1 ,Vacuolar cation/proton exchanger (AHRD V3.3 *** K4DCJ3_SOLLC)
Solyc12g011080.3.1 ,Vacuolar cation/proton exchanger (AHRD V3.3 *-* K4CGE4_SOLLC)
Solyc12g011090.3.1 ,Unknown protein
Solyc12g011100.2.1 ,Unknown protein
Solyc12g011110.1.1 ,ADP-glucose pyrophosphorylase small subunit CagpS2 (AHRD V3.3 --* NP_001352225.1)
Solyc12g011120.4.1 ,Glucose-1-phosphate adenylyltransferase (AHRD V3.11 *** tr|M1E0D4|M1E0D4_SOLTU)
Solyc12g011130.2.1 ,Rab family GTPase (AHRD V3.3 *** A0A1Y1I8A7_KLENI)
Solyc12g011140.3.1 ,Subtilisin-like protease (AHRD V3.3 *** A0A2G3BMA9_CAPCH)
Solyc12g011150.1.1 ,Unknown protein
Solyc12g011160.2.1 ,3-hydroxyisobutyryl-CoA hydrolase-like protein 5 (AHRD V3.3 *** A0A2G2YT91_CAPAN)
Solyc12g011170.3.1 ,Phospholipase D (AHRD V3.3 *** K4DCK3_SOLLC)
Solyc12g011180.3.1 ,"Transcription factor IIIC, subunit 5 (AHRD V3.3 *** A0A2U1L539_ARTAN)"
Solyc12g011190.2.1 ,Plant regulator RWP-RK (AHRD V3.3 *** A0A1R3KFR0_9ROSI)
Solyc12g011200.3.1 ,WRKY transcription factor 28
Solyc12g011210.1.1 ,Unknown protein
Solyc12g011215.1.1 ,transcription factor HHO6-like (AHRD V3.3 *** XP_025884461.1)
Solyc12g011230.1.1 ,Unknown protein
Solyc12g011237.1.1 ,transcription factor HHO6-like (AHRD V3.3 *-* XP_025884461.1)
Solyc12g011250.1.1 ,Myb family transcription factor-related protein (AHRD V3.3 *-* B6TBR6_MAIZE)
Solyc12g011255.2.1 ,transcription factor HHO6-like (AHRD V3.11 *** XP_025884461.1)
Solyc12g011270.2.1 ,ethylene-responsive elongation factor EF-Ts precursor
Solyc12g011280.2.1 ,"Chlorophyll a-b binding protein, chloroplastic (AHRD V3.3 *** A0A0F7H004_9ROSI)"
Solyc12g011290.2.1 ,Kinesin-4 (AHRD V3.3 *** A0A2G2X2M3_CAPBA)
Solyc12g011300.2.1 ,Glutathione S-transferase (AHRD V3.3 *** Q9FQE8_SOYBN)
Solyc12g011310.2.1 ,Glutathione S-transferase-like protein (AHRD V3.3 *** A0A2K3N2T5_TRIPR)
Solyc12g011320.2.1 ,Glutathione S-transferase (AHRD V3.3 *** Q9FQE8_SOYBN)
Solyc12g011330.5.1 ,Ethylene receptor (AHRD V3.11 *** tr|A0A1U8FFY9|A0A1U8FFY9_CAPAN)
Solyc12g011340.2.1 ,Polyadenylate-binding protein-interacting protein 10 (AHRD V3.3 *** A0A2G2YTF8_CAPAN)
Solyc12g162460.1.1 ,VQ-like protein (AHRD V3.11 *-* tr|A0A2U1QMP6|A0A2U1QMP6_ARTAN)
Solyc12g011350.3.1 ,Unknown protein
Solyc12g011360.2.1 ,Interactor of constitutive active ROPS 1-like protein (AHRD V3.3 *** A0A2K3NH99_TRIPR)
Solyc12g011370.3.1 ,Cationic amino acid transporter (AHRD V3.3 *** A0A2K3LDF0_TRIPR)
Solyc12g011380.2.1 ,chorion class high-cysteine HCB protein 13-like (AHRD V3.11 *-* XP_004252099.1)
Solyc12g011390.1.1 ,glycine-rich cell wall structural protein 1-like (AHRD V3.3 *** XP_010314080.1)
Solyc12g011400.4.1 ,"Pentatricopeptide repeat-containing protein, mitochondrial (AHRD V3.11 *** tr|A0A2G2X5L1|A0A2G2X5L1_CAPBA)"
Solyc12g011410.1.1 ,Unknown protein
Solyc12g011420.2.1 ,C2 domain-containing protein (AHRD V3.3 *** A0A2G2X5L7_CAPBA)
Solyc12g011430.4.1 ,Beta-lactamase-like (AHRD V3.11 *** tr|A0A200QS30|A0A200QS30_9MAGN)
Solyc12g011440.2.1 ,60S ribosomal protein L18a-like protein (AHRD V3.3 *-* A0A2G2Z4N3_CAPAN)
Solyc12g011450.2.1 ,"Chlorophyll a-b binding protein, chloroplastic (AHRD V3.3 *** A0A1U8G201_CAPAN)"
Solyc12g011455.1.1 ,Histone H2B (AHRD V3.3 *** A0A218W9S6_PUNGR)
Solyc12g011460.1.1 ,Unknown protein
Solyc12g161410.1.1 ,F-box protein (AHRD V3.11 *-* tr|A0A1J3HTG0|A0A1J3HTG0_NOCCA)
Solyc12g161420.1.1 ,F-box domain-containing protein (AHRD V3.11 *-* tr|A0A2U1KB27|A0A2U1KB27_ARTAN)
Solyc12g013480.3.1 ,Unknown protein
Solyc12g160120.1.1 ,F-box domain (AHRD V3.11 *-* tr|A0A200PSM3|A0A200PSM3_9MAGN)
Solyc12g013470.4.1 ,Phosphatidylinositol 4-phosphate 5-kinase (AHRD V3.11 *-* tr|K4BQ49|K4BQ49_SOLLC)
Solyc12g013490.1.1 ,F-box domain-containing protein (AHRD V3.3 *-* A0A1Q3CQC0_CEPFO)
Solyc12g013500.2.1 ,hypothetical protein (AHRD V3.3 *-* AT3G13677.3)
Solyc12g013510.1.1 ,Histone H2B (AHRD V3.3 *** A0A328DBY2_9ASTE)
Solyc12g013520.3.1 ,Unknown protein
Solyc12g013530.2.1 ,Unknown protein
Solyc12g013540.2.1 ,Unknown protein
Solyc12g013550.2.1 ,hypothetical protein (AHRD V3.3 *** AT2G20820.1)
Solyc12g013560.2.1 ,PAP-specific phosphatase HAL2-like (AHRD V3.3 *** A0A2G2ZXI6_CAPAN)
Solyc12g013570.2.1 ,"Plant cadmium resistance 2, putative (AHRD V3.3 *** A0A061E1P7_THECC)"
Solyc12g013580.3.1 ,"Peptidyl-prolyl cis-trans isomerase CYP37, chloroplastic (AHRD V3.3 *** A0A1U8GBH5_CAPAN)"
Solyc12g013590.2.1 ,"UvrD-like Helicase, ATP-binding domain, P-loop containing nucleoside triphosphate hydrolase (AHRD V3.3 *** A0A2U1Q6X2_ARTAN)"
Solyc12g013610.3.1 ,calmodulin-binding protein (DUF1645) Chr2:6865807-6866754 REVERSE LENGTH=315 201606 (AHRD V3.11 *** AT2G15760.1)
Solyc12g013620.2.1 ,jasmonic acid 2
Solyc12g013630.1.1 ,ABC transporter G family member .1
Solyc12g013640.2.1 ,ABC transporter G family member .1
Solyc12g013650.2.1 ,DUF1218 domain-containing protein (AHRD V3.3 *** A0A1Q3DB07_CEPFO)
Solyc12g013660.3.1 ,Ethylene-responsive transcription factor (AHRD V3.3 *-* A0A2G2Z3R5_CAPAN)
Solyc12g013670.2.1 ,"Mannan endo-1,4-beta-mannosidase.1"
Solyc12g013680.3.1 ,receptor-like protein 12 (AHRD V3.3 *** A0A1S3Y203_TOBAC)
Solyc12g013690.2.1 ,Monooxygenase (AHRD V3.3 *** Q8H9C4_SOLTU)
Solyc12g013700.2.1 ,stem-specific protein TSJT1-like (AHRD V3.3 *** A0A2I4H4H1_9ROSI)
Solyc12g013710.2.1 ,light dependent NADH:protochlorophyllide oxidoreductase 1
Solyc12g013720.1.1 ,Monooxygenase (AHRD V3.3 *** Q8H9C4_SOLTU)
Solyc12g013730.3.1 ,Receptor-like protein (AHRD V3.3 *-* G7KCN9_MEDTR)
Solyc12g013740.4.1 ,receptor-like protein 12 (AHRD V3.11 *-* tr|A0A1U8E178|A0A1U8E178_CAPAN)
Solyc12g013750.2.1 ,"Mannan endo-1,4-beta-mannosidase.1"
Solyc12g013770.3.1 ,"Mannan endo-1,4-beta-mannosidase.1"
Solyc12g013780.3.1 ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (AHRD V3.3 *** Q9LJ65_ARATH)
Solyc12g013790.3.1 ,RNA-binding protein 25 (AHRD V3.3 *-* A0A2I4H2H9_9ROSI)
Solyc12g013810.2.1 ,Thioredoxin (AHRD V3.3 *** A0A2U1L6J8_ARTAN)
Solyc12g013820.3.1 ,Ubiquitin-conjugating enzyme (AHRD V3.3 *-* A0A200QWS6_9MAGN)
Solyc12g013830.2.1 ,Unknown protein
Solyc12g013840.3.1 ,Protein SPA1-RELATED 3 (AHRD V3.3 *** A0A2G2VZ51_CAPBA)
Solyc12g013850.2.1 ,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (AHRD V3.3 *** F4JIW2_ARATH)"
Solyc12g013860.2.1 ,Proton pump-interactor.1
Solyc12g013870.3.1 ,RNA-binding S4 domain-containing protein (AHRD V3.3 *** A0A2U1NIP7_ARTAN)
Solyc12g013880.2.1 ,Origin recognition complex subunit 3 (AHRD V3.3 *** A0A2U1N3V6_ARTAN)
Solyc12g013890.2.1 ,embryo defective 2737 (AHRD V3.3 *** AT5G53860.2)
Solyc12g013895.1.1 ,Rapid alkalinization factor (AHRD V3.3 *** S8CZN7_9LAMI)
Solyc12g013900.3.1 ,Early nodulin-like protein.1
Solyc12g013910.2.1 ,PR.1
Solyc12g013920.2.1 ,Protein yippee-like (AHRD V3.3 *** A0A1U8EEB0_CAPAN)
Solyc12g013930.3.1 ,transcriptional corepressor LEUNIG-like (AHRD V3.11 *-* XP_019067025.2)
Solyc12g013940.1.1 ,transcriptional corepressor LEUNIG-like (AHRD V3.3 *** A0A2I4H8H0_9ROSI)
Solyc12g013950.2.1 ,Se.1
Solyc12g013960.3.1 ,DUF688 domain-containing protein (AHRD V3.3 *** A0A1Q3CVC4_CEPFO)
Solyc12g013970.3.1 ,Protein kinase domain (AHRD V3.3 *** A0A200QT30_9MAGN)
Solyc12g013990.3.1 ,50S ribosomal protein .1
Solyc12g014000.3.1 ,Pentatricopeptide repeat (AHRD V3.3 *** A0A200QM34_9MAGN)
Solyc12g014010.2.1 ,Glycosyltransferase (AHRD V3.3 *** Q94IF2_TOBAC)
Solyc12g014020.2.1 ,Nucleic acid-binding%2C OB-fold-like protein (AHRD V3.3 *** AT5G63690.2)
Solyc12g014040.1.1 ,Serine/Threonine-kinase pakA-like protein (AHRD V3.3 *-* AT3G15095.1)
Solyc12g014050.2.1 ,"Zinc-binding dehydrogenase, putative (AHRD V3.3 *** Q8LBA4_ARATH)"
Solyc12g014060.2.1 ,RNA exonuclease 4 (AHRD V3.3 *** A0A1U8F956_CAPAN)
Solyc12g150104.1.1 ,"ATP synthase subunit c, chloroplastic (AHRD V3.3 *** A0A191T4D9_SPIMX)"
Solyc12g014070.2.1 ,RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1L356_ARTAN)
Solyc12g014080.2.1 ,RAB GTPase (AHRD V3.3 *** A0A2U1Q460_ARTAN)
Solyc12g014090.2.1 ,TAF RNA polymerase I subunit A (AHRD V3.3 *** AT1G53200.1)
Solyc12g014100.2.1 ,"homogentisate 1,2-dioxygenase"
Solyc12g014110.2.1 ,Sodium/calcium exchanger family protein / calcium-binding EF hand family protein (AHRD V3.3 *** A0A2U1MZE4_ARTAN)
Solyc12g014120.3.1 ,WAS/WASL-interacting protein family member.1
Solyc12g014130.2.1 ,SUN-like protein 33
Solyc12g014140.3.1 ,SlTCP3
Solyc12g014150.3.1 ,P-loop containing nucleoside triphosphate hydrolases superfamily protein (AHRD V3.3 *** A0A2U1MQS6_ARTAN)
Solyc12g014160.3.1 ,Unknown protein
Solyc12g014170.2.1 ,Transcription factor gte4 (AHRD V3.3 *** A0A1J6J3A7_NICAT)
Solyc12g014180.2.1 ,Malate dehydrogenase (AHRD V3.3 *** A0A2G2X2U9_CAPBA)
Solyc12g014190.2.1 ,tRNA dimethylallyltransferase 9 (AHRD V3.3 *** A0A2G2VFT1_CAPBA)
Solyc12g014200.3.1 ,Protein trichome birefringence-like .1
Solyc12g014210.4.1 ,RNA-binding (RRM/RBD/RNP motif) family protein (AHRD V3.11 *** tr|A0A2K3L2Z0|A0A2K3L2Z0_TRIPR)
