Affy_identifier,T0 no addition,30min no addition,3hrs no addition,30 min 3mM KCl,3 hrs 3mM KCl,30 min 3mM KNO3 (A),30min 3mM KNO3 (B),3hrs 3mM KNO3 (A),3hrs 3mM KNO3 (B),Full nutrition (A),Full nutrition (B),Full nutrition (C ),Gene product
265937_at,6.5,13.1,13.3,15.6,15.3,24,12.8,21.9,13.8,10.8,19.7,6,putative RING zinc finger protein
265938_at,82.9,78.5,79.1,89.5,83.5,69.8,86.1,75.1,69.1,71.5,119.4,143.5,putative SF21 protein  {Helianthus annuus}
265939_at,23.3,27.3,24.4,28,24.8,22.3,21.1,23.1,23.8,30.4,29.3,30.4,putative Ta11-like non-LTR retroelement protein similar to GB:AAA75253; some members of this protein family have a weak CCHC zinc fingers that is mostly from retroviral gag proteins (nucleocapsid)
265940_at,414.7,463.6,447.1,405.3,481.3,522.9,490.4,514.5,637.3,537.2,469.1,519.2,putative nucleosome assembly protein
265941_s_at,27.9,24.2,26,24,23.3,27,24.8,53.2,60.8,23.2,26.2,17," recA, putative similar to GB:CAA39098 GI:48781 recA from [Legionella pneumophila] "
265942_at,201.7,147.2,159.8,155.2,149.7,169.2,152.2,149.6,157.2,122.7,134.1,110.2,putative casein kinase I  ;supported by full-length cDNA: Ceres:2312.
265943_at,376.6,294.4,319,283.2,278.9,157.5,103.3,241.8,167.5,193.2,303.1,255.7,putative cytidine deaminase  ;supported by full-length cDNA: Ceres:152285.
265944_at,19.4,8.8,17.8,3,20.1,22.4,11.7,46.2,51.2,17,13.9,5.9,putative SET-domain transcriptional regulator  ; supported by cDNA: gi_14334523_gb_AY034953.1_
265945_at,22.2,10.6,16.7,12.1,9.6,22.2,17.5,16.9,12.2,23.7,26.1,17.1,putative cytokinin oxidase  ; supported by cDNA: gi_11120507_gb_AF303978.1_AF303978
265946_s_at,147.2,149.1,160,166.6,156.3,171.4,151.4,184.1,205.3,143.6,152.2,160.1," putative WD-40 repeat protein, MSI4 almost identical to GB:2599091; contains a Trp-Asp (WD-40) repeat signature; supported by cDNA: gi_2599091_gb_AF028711.1_AF028711  "
265947_at,246.9,290.7,339.4,328.5,313.6,322.2,264.5,440.4,520.9,248.5,245.5,251.4,putative WD-40 repeat protein  ; supported by cDNA: gi_13877610_gb_AF370506.1_AF370506
265948_at,107.9,84.9,134,126.7,90.3,300.4,273.5,225.4,245.4,238,205.3,132.3,1-aminocyclopropane-1-carboxylate oxidase  ; supported by cDNA: gi_13877864_gb_AF370195.1_AF370195
265949_at,3.2,1.6,2.3,0.8,0.6,2.2,1.6,5.1,0.5,1.8,3.1,4,putative vicilin storage protein (globulin-like)
265950_s_at,12.6,14.7,13.3,7.7,13.3,22.7,14.7,16.2,16.6,13.5,7.1,3.7,putative protein kinase contains a protein kinase domain profile (PDOC00100)
265951_at,47.9,30.9,41.7,47.9,37.5,43.3,37.2,37.2,29.8,31.9,29.5,16.2,hypothetical protein predicted by genefinder and genscan
265952_at,139.5,138.7,140.6,150.2,167.7,124.7,132.1,147.7,130.3,164.1,145.9,111.7,unknown protein supported by cDNA: gi:13926173
265953_at,260.4,239.5,242.7,256.1,246.7,247.4,250.5,215.1,228.8,243.8,153.6,186.2,unknown protein
265954_at,13.1,7.4,5.3,5.7,3.1,12.8,7.3,0.8,5.7,3.7,1.9,4.9,putative WRKY-type DNA binding protein  ; supported by cDNA: gi_15384226_gb_AF404862.1_AF404862
265955_at,109.5,86.3,108.4,122.8,106.4,113.9,107.2,98.7,104.5,69.7,50,53.7,putative ABC transporter
265956_at,9.5,5.9,7,12.2,12.1,5.9,7.1,10.6,5.8,6.8,0.8,5,hypothetical protein predicted by genscan and genefinder
265957_at,43.9,28.5,29.3,26.1,24.7,22.9,27.1,30.1,26.4,19.1,38.6,63.4,hypothetical protein predicted by genscan and genefinder
265958_at,229.7,233.6,220.1,214.8,212.1,289.4,279.5,374.4,397.4,257.4,199.5,178,putative adenylate kinase  ;supported by full-length cDNA: Ceres:15831.
265959_at,117.1,101.1,82.3,63.3,89.4,69.5,91.3,56.8,62.7,77.5,54.4,63,unknown protein  ;supported by full-length cDNA: Ceres:98881.
265960_at,82.1,56.7,46.7,56.8,46.2,41.7,57.6,59.9,93.8,54.7,81.2,96.2,putative histone H2B  ;supported by full-length cDNA: Ceres:31973.
265961_at,58.8,52.6,54.5,48.3,54.7,63.8,61.7,95.1,140.5,52.6,31.4,47.5,unknown protein  ;supported by full-length cDNA: Ceres:9001.
265962_at,234.4,183.4,204.1,180.3,192.5,157.9,213.3,174.7,225.5,154.1,117,118.4,nodulin-like protein  ;supported by full-length cDNA: Ceres:16393.
265963_s_at,1765,1674.9,1795.5,1886.2,1589.6,1841.3,1926.1,2157.5,2444.2,2088.3,1853.7,2201.9,40S ribosomal protein S5 identical to GP:3043428;supported by full-length cDNA: Ceres:8397.
265964_at,18.3,13.2,24.2,13.9,20.5,22.5,16.3,46.8,28.8,24.7,33.1,27.9,putative RNA-binding protein  ; supported by full-length cDNA: Ceres: 11642.
265965_at,61.1,62.6,88,81.5,68.3,56.8,59.7,98.7,89.5,94,112.1,102.5,putative glutamate/ornithine acetyltransferase  ;supported by full-length cDNA: Ceres:121873.
265966_at,149.4,158.7,171.2,153.1,177.1,133,144.4,314.9,417.5,600.7,330.1,464.4,putative RNA-binding protein  ; supported by full-length cDNA: Ceres: 8849.
265967_at,25,16.5,20.8,8.7,12.5,26.9,16.7,35.3,28.7,71.4,79,97.6,nodulin-like protein  ; supported by cDNA: gi_14994262_gb_AY044325.1_
265968_at,572.2,688.2,557.4,479.3,593.3,644.7,631.5,544.2,652.1,448.2,534.4,591.3,putative protein translocase  ; supported by cDNA: gi_13430691_gb_AF360258.1_AF360258
265969_at,5.9,0.8,1.7,3.5,0.6,1.9,4.1,1.6,0.7,1.2,0.4,3.9,En/Spm-like transposon protein related to En/Spm transposon family of maize
265970_at,1.2,1.9,1,2.1,1.1,2.8,0.9,4.5,0.9,1.8,0.3,0.5,Mutator-like transposase similar to  MURA transposase of maize Mutator transposon
265971_at,0.8,0.7,0.6,0.4,0.4,0.7,0.7,0.4,0.5,0.5,0.2,0.2,putative retroelement pol polyprotein
265972_at,9.6,1.9,4.3,1.4,5.7,8.4,6.4,9.6,13.7,7.1,1.2,1.7,putative retroelement pol polyprotein
265973_at,5.5,5.6,8.9,13.2,11.4,10.2,13.4,6.4,5.6,12,1,2.2,putative non-LTR retroelement reverse transcriptase
265974_at,172.1,149.3,138.5,144.1,155.3,125.5,116.1,112.5,109.4,105.2,106.4,117.8,unknown protein
265975_at,3.7,1.5,2,3.4,1.6,1.6,2.9,5.1,7.3,6.6,0.4,4.2,putative citrate synthetase
265976_at,0.4,0.2,0.3,0.5,0.4,0.3,0.3,0.2,0.4,0.3,0.5,0.4,putative Athila retroelement ORF1 protein
265977_at,5.6,0.7,0.8,0.6,0.7,3.9,2.6,2.6,0.6,0.8,0.6,0.6,putative retroelement pol polyprotein
265978_at,22.3,24.8,20.7,26.7,24.5,15.3,15.4,21.4,17.2,18.8,15.7,16.6,putative retroelement pol polyprotein
265979_at,15.7,11.3,9.9,9.8,8.6,12.1,13,5.2,9.5,5.8,1.5,7.9,putative replication protein A1
265980_at,0.3,0.3,0.1,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.3,hypothetical protein predicted by genefinder
265981_s_at,0.4,3.2,2.4,2.1,0.8,3.4,0.7,0.9,3.7,1.3,0.7,0.5,putative replication protein A1
265982_at,0.7,0.6,0.4,0.8,0.6,6.3,0.6,0.7,0.6,0.5,0.6,0.4,putative retroelement pol polyprotein
265983_at,38.9,11.7,15.2,11.4,18.2,16.6,19.9,19.1,17.3,13.4,16.5,18.1,putative homeodomain transcription factor
265984_at,10.1,0.3,1.1,2.8,4.5,3.6,0.6,0.5,0.9,1.8,1.8,4.6,putative limonene cyclase
265985_at,38.8,43.1,32.4,46.4,34.5,37,39.7,29.1,28.2,40,34.5,47.9,hypothetical protein predicted by genscan
265986_at,41.8,28,20,34.2,30.5,29.5,36.6,32.8,40.8,28.1,27.2,29.1,putative receptor-like protein kinase
265987_at,49.6,45.1,36,52.1,60.7,46.4,45,66.4,35.4,46.2,47.9,48.7,unknown protein
265988_at,15.2,9.9,11.5,15.4,9.8,20.1,13.1,16.6,11.3,11.9,17.2,13.2,hypothetical protein predicted by genefinder
265989_at,84.2,66.5,62.4,52.4,75.4,54.3,47.4,74.6,51,88.5,55.1,50.4,unknown protein
265990_at,94.8,72.2,68.8,71.7,73.2,83.3,104.7,66.9,78.2,110.4,92.3,131.8,putative prolylcarboxypeptidase
265991_at,40.8,37.8,49.7,39.2,50.2,56.9,34.4,106.9,102.3,72,46.7,38.3,chloroplast single subunit DNA-dependent RNA polymerase identical to GB:Y08722
265992_at,27.8,11.6,6.9,11.5,9.7,16,25.9,22.8,24.9,13.4,5.5,8.6,putative receptor-like protein kinase
265993_at,22.3,17.2,19.1,18.6,15.9,32.4,28.9,15.3,11,21.1,18.1,2.9,putative disease resistance protein
265994_at,169.9,141,143.3,160,180.1,154.6,165.2,126.3,140.6,136.2,140.8,151.7,putative multispanning membrane protein similar to  MURA transposase of maize Mutator transposon
265995_at,9.2,5.3,2.7,3,5,6.3,2.9,8.8,7.7,0.5,4.4,0.6,hypothetical protein predicted by genscan;supported by full-length cDNA: Ceres:104717.
265996_at,944.5,957.9,897.3,992.5,901.7,969.7,686.2,982.5,1120.9,1196.8,1134.8,962.6,putative leucine aminopeptidase identical to GB:X63444; supported by cDNA: gi_14334665_gb_AY035006.1_
265997_at,21.1,25.9,27.3,25.8,28.5,31,23.3,29.4,21.2,12.7,16.5,14.7,Expressed protein ; supported by cDNA: gi_14335043_gb_AY037201.1_
265998_at,153.7,135,158.4,149.3,120,120.3,154.5,112.4,116.3,354.8,295.4,380,putative NADP-dependent glyceraldehyde-3-phosphate dehydrogenase  ; supported by cDNA: gi_14335051_gb_AY037205.1_
265999_at,93.8,89.7,101.7,100.1,96.1,106.4,91,92.6,92.7,59.4,60.5,58.9,unknown protein  ; supported by cDNA: gi_14596216_gb_AY042896.1_
266000_at,216.8,273.5,293.7,273.8,289.8,244.2,191,397.9,242.6,356.2,387.1,222.9,putative cytochrome P450 identical to GB:D78604; supported by cDNA: gi_15450907_gb_AY054534.1_
266001_at,98.7,84.3,109.5,109.3,98.7,99,88.4,275.2,253.6,156.4,292.8,263,hypothetical protein predicted by genefinder; supported by cDNA: gi_13877832_gb_AF370179.1_AF370179
266002_at,10.7,10.8,11.2,13.8,12.8,20.9,15,20.2,26.4,11.8,5.3,6.4,hypothetical protein predicted by genscan and genefinder
266003_at,11.9,8,9.9,6.6,8.6,8.8,13.8,7.9,11.1,4.9,4.7,7.3,hypothetical protein predicted by genscan and genefinder
266004_at,85,68.1,88.5,75.8,75.5,65.1,81.3,61.8,44.1,42.9,56.5,53.1,unknown protein predicted by genscan and genefinder
266005_at,426.8,461.2,467.6,506.6,483.7,510,455.9,509.4,508.8,624.9,596,614.2,unknown protein
266006_at,98.8,62.1,68.5,67.5,70.2,68.9,81.8,63.7,86.3,28.8,13.1,20,putative ABC transporter
266007_at,20.4,15.9,16.2,14.7,15.8,6.7,9.1,14,17.5,15.2,22.1,25.5,unknown protein
266008_at,8.5,9.3,13.4,13.3,11.3,11.2,8,17,14,2,19.7,29.9,hypothetical protein predicted by genscan and genefinder
266009_at,24.6,16.5,24.5,14.3,20.5,21.6,29.2,17.3,21.3,17.3,13.5,22.3,putative kinesin heavy chain
266010_at,14.3,11.1,10.6,9.1,9.9,6.9,9.4,8,3,5.8,12.6,1.1,putative C2H2-type zinc finger protein likely a nucleic acid binding protein
266011_at,47.2,42.7,43.9,44.5,49.7,41.8,28.1,28.2,24.3,15.9,21.9,24.8,unknown protein
266012_s_at,85.6,236.4,257.3,252.9,299.6,279.4,66.6,267.1,90.1,206,126.7,95.7,predicted protein
266013_s_at,17.9,22.3,23.9,25.6,23.5,23.4,4.6,25.4,9.4,23.5,14.4,10.4,hypothetical protein
266014_s_at,45.6,75.9,78,74.3,83.6,79.1,30.5,86.9,31.1,115.9,50,33.5,hypothetical protein
266015_at,54.4,47.8,45.3,49.9,60.9,48.7,56.7,73.4,61.4,37.8,48.4,53.1,putative carbonyl reductase
266016_at,45,44,42.1,53.1,58.7,59.9,33.1,37.6,36.3,65,39.8,40.7,putative RING zinc finger protein  ; supported by full-length cDNA: Ceres: 92525.
266017_at,379.6,357.6,256.4,450.4,264.2,444,406.7,347.4,122.4,505.9,617,119.7,unknown protein  ; supported by cDNA: gi_14517479_gb_AY039575.1_
266018_at,76.8,95.2,104.6,117.1,97.3,98.6,82.4,107.8,87,229.2,239.4,255.4," putative preprotein translocase SECY protein Identical to GB:U37247; targeted to the thylakoid membrane; the protein has a chloroplast targeting signal, but the processing site is not known  {Arabidopsis thaliana}; supported by cDNA: gi_1049292_gb_U37247.1_ATU37247  "
266019_at,127.2,156.7,124.8,109.9,111.7,105.1,83.1,92.3,90.7,124.8,104.6,72.5,putative calmodulin-binding protein  ; supported by cDNA: gi_15983494_gb_AF424622.1_AF424622
266020_at,14.6,10.5,7.3,13.4,7.7,18.5,13.7,15.9,6.6,10.9,13.2,2.8,hypothetical protein
266021_at,69.7,56.7,59.9,43.2,65.6,44.7,41.5,48.6,35.6,23.7,9.6,12.1,unknown protein
266022_at,715.1,632.5,662.2,658.4,700,639.9,657.3,583,778.3,437.9,421.7,587.8," subtilisin-like serine protease, putative contains similarity to cucumisin-like serine protease GI:3176874 from [Arabidopsis thaliana] "
266023_at,7.9,2.8,5.7,5.9,2.1,5.4,6.3,5.8,3,2.1,1.9,2,copia-like retroelement pol polyprotein
266024_at,3.6,0.3,0.8,0.5,3.1,2.2,0.7,4.3,0.5,0.5,0.2,0.2,En/Spm-like transposon protein related to En/Spm transposon family of maize
266025_at,0.3,0.1,0.3,0.1,0.3,0.4,0.3,0.3,0.3,0.4,0.5,0.2,putative retroelement pol polyprotein
266026_at,5.5,7.9,1.7,9,2.2,5.3,7.7,3.3,6,6.1,1.4,0.9,putative non-LTR retroelement reverse transcriptase
266027_at,6.5,1.1,3.1,0.7,4.2,1,0.9,1.3,0.3,1.2,0.3,0.2,En/Spm-like transposon protein related to En/Spm transposon family of maize
266028_at,47.2,56.3,57.8,37.2,48.3,52.3,47.3,53.6,46.4,43.3,37.6,30.9,hypothetical protein predicted by genscan
266029_at,0.9,0.7,0.7,1,0.9,1,6.2,1.1,0.8,1.9,0.9,1,putative serine carboxypeptidase II
266030_x_at,8.1,5.1,3.4,4.6,5,6.7,7.4,5.2,7.1,2.2,1.2,0.4,hypothetical protein predicted by genscan
266031_at,0.9,0.6,1.4,0.9,0.2,0.4,0.3,0.9,0.4,0.5,0.2,0.3,hypothetical protein predicted by genefinder
266032_x_at,13.7,9.9,10.1,15.9,10.7,14.6,16.1,18.4,6.4,12.9,1.2,1.9,putative replication protein A1
266033_at,222.2,272.7,303.5,287.5,284.9,247.2,210.3,248.6,238,259.4,171.4,200,putative translation initiation factor eIF-2B alpha subunit  ;supported by full-length cDNA: Ceres:36965.
266034_at,13.1,24.6,18.2,12.7,21.3,10.8,14,13.1,9.3,6.4,4.4,4.1,Expressed protein ; supported by full-length cDNA: Ceres: 253548.
266035_at,327,274.8,294.5,307.6,268.5,298.4,335.1,335.7,376.8,320.5,240.2,322.2,enoyl-ACP reductase (enr-A)
266036_s_at,643.2,636.8,649.2,573.8,623.6,515.9,519.3,565.7,524.3,568.5,550.4,521.4,20S proteasome subunit (PAA2) identical to GB:AF043519; supported by cDNA: gi_15450622_gb_AY052679.1_
266037_at,130.2,148,139,153.8,144.4,63.4,92,117.5,74.9,99.2,100,39.2,putative protein kinase contains a protein kinase domain profile (PDOC00100); supported by cDNA: gi_15810412_gb_AY056245.1_
266038_at,38.6,33.6,44.2,34.1,34.7,29.2,32.7,34.6,36.6,23.9,31.1,40.6,putative ABC transporter
266039_s_at,31.3,34.4,55.4,52,24.9,31.5,14.4,39.2,15,27.3,19.4,15,hypothetical protein
266040_at,3,6.5,0.8,3,1.4,7.4,1,2.4,0.5,1.4,0.5,0.6,hypothetical protein
266041_s_at,0.8,6.4,1.1,6.5,2.5,0.9,0.8,6.3,0.2,4.6,0.5,0.5,hypothetical protein
266042_s_at,57.3,74.2,97.5,61.6,41.5,50.6,34.8,41.8,35.7,104.4,42.5,44.7,hypothetical protein
266043_at,33.4,22,16.6,23.8,21.8,27.8,19.7,25.4,18.9,21,27.7,15.1,hypothetical protein
266044_s_at,40.2,52.9,66,58.7,53.2,62.7,17.4,65.3,26.5,62.4,24.7,24.2,hypothetical protein
266045_s_at,53.3,119.1,150.8,146.4,134.3,139.4,52.7,139,45.5,60.5,24,38.9,hypothetical protein
266046_at,4.5,8.6,3,6.2,8.8,8.7,3.3,7.9,1,2.1,3.1,3.3,hypothetical protein
266047_at,38.8,64.4,48.3,35.3,42,38.8,48.4,45.2,43,33.5,33.4,32.6,unknown protein
266048_at,8.8,7.4,0.8,2.8,3.2,2.7,1.6,0.9,1.6,1.5,0.4,1.1,putative thioredoxin H contains a thioredoxin family active site (PDOC00172)
266049_at,14.8,14.3,14.5,10.4,9,20.1,20.4,20.3,30.9,14.9,20.3,17.7,putative translation initiation factor
266050_at,44.5,48,50.9,51.2,48.7,45.5,52.2,45,46.7,47.1,42.8,41.1,putative SNF2/SWI2 family transcription factor
266051_at,33.8,49.2,53.3,56.3,65.6,33.3,39.7,53.6,44.1,89.6,67.8,82.1,rhodanese-like family protein
266052_at,12.3,9.7,17.6,21.2,12,3.6,9.4,23.3,7.6,4.5,2.5,4.7,putative WRKY-type DNA binding protein
266053_at,118.9,131.8,119.9,120.2,123.8,139.5,96.8,119.7,103.1,103.7,89.8,75.3,unknown protein
266054_at,26.3,27.3,23.7,30.1,30.9,24.3,25.3,24.3,24.8,24,52.5,39.6,hypothetical protein predicted by genefinder
266055_at,72.9,90.1,93.3,66.2,64.2,78.3,78.3,72.9,79.4,69.6,72.3,82.1,hypothetical protein predicted by genscan;supported by full-length cDNA: Ceres:35168.
266056_at,69.8,70.2,86.3,71.1,71.6,54.5,50.9,47.9,44.6,44.8,53,40.9,hypothetical protein predicted by genscan; similar to sp P43601 YFJ1 YEAST; similar to sp P50079 YG4Q YEAST
266057_at,145.7,159.5,188.7,170.2,159.5,165,145.1,223.9,222.6,187.1,203.2,195.8,putative methionyl-tRNA synthetase  ; supported by cDNA: gi_14334467_gb_AY034925.1_
266058_at,22.9,15,19.7,26.2,22.8,22.7,26.9,22.1,22.7,31.7,28.8,33.8,glycerol-3-phosphate dehydrogenase  ; supported by cDNA: gi_15293068_gb_AY050968.1_
266059_at,460.9,438.4,437.2,417,427.2,423.9,447.3,491.1,483.2,457.7,363.4,393.3,predicted protein ;supported by cDNA: Ceres:168
266060_at,98.2,91.3,110.7,122.8,116.6,101.9,86.7,121.2,77.4,79.3,84.9,102.8,unknown protein unusual splice site at second intron; GA instead of conserved GT at donor site
266061_at,14.1,10.6,11.5,16.2,13.2,20.8,8.3,21.8,11.7,9.7,15.6,18.1,putative translation initiation factor eIF-2B gamma subunit
266062_at,225.9,194.4,209.4,208.6,230.7,149.3,175.8,127.4,141.3,110,105.7,92.1,putative diacylglycerol kinase
266063_at,25,20.5,21.5,21.7,16.4,19,18.7,18.8,23.5,19.6,15.8,13.2,putative SNF2/RAD54 family DNA repair and recombination protein DNA excision repair protein ERCC6 (COCKAYNE SYNDROME PROTEIN CSB {Homo sapiens}; probable helicase RAD26 - yeast {Saccharomyces cerevisiae}
266064_at,40.6,47.6,55.4,54.3,57.5,57.7,45.5,62.5,38.1,29.2,29.9,25.3,expressed protein
266065_at,113.3,112.4,128.2,107.8,124.6,125.6,124.1,145.1,155.4,175.6,106.2,143.5,phytochrome B Identical to GB:X17342
266066_at,53.3,52.4,34.8,24.1,51.2,65.2,72.6,49,96.6,13.1,9.5,28.4,putative xyloglucan endo-transglycosylase
266067_s_at,0.3,0.3,1.1,0.3,0.5,0.1,2.7,1.4,0.4,0.4,0.3,0.3,hypothetical protein predicted by genscan
266068_at,5.1,4,3.1,2.1,4.4,6.8,6.6,2.9,0.2,2.6,3.1,4.2,putative geranylgeranyl pyrophosphate synthase contains GB:L22347
266069_at,7.3,20.5,13.6,1.7,13.3,1.6,4.6,2.1,14.6,10.2,0.9,0.9,putative RING zinc finger protein
266070_at,860.9,595.6,646.4,328.1,503.6,421.6,465,140.5,134.2,37.2,22.1,0.9,"hypothetical protein, DNA-Methylase domain, Expansin domain"
266071_at,47.9,48.5,50.9,52,41.1,52.1,53.8,63.4,22.8,20.9,15.4,9.6,unknown protein
266072_at,60,46.1,44.1,45.2,40.1,31.6,33.9,123.3,69.6,107.9,87.5,126.8,putative trehalose-6-phosphate synthase
266073_at,84.1,98.9,86.7,108.6,97.1,79.9,91.3,98.3,75.6,90.7,114.2,100.8,putative signal recognition particle receptor beta subunit  ;supported by full-length cDNA: Ceres:14084.
266074_at,107.3,91.6,91.8,82.5,102.1,92,99.5,139.4,122.2,70.1,106.9,94,putative small nuclear ribonucleoprotein E  ;supported by full-length cDNA: Ceres:24619.
266075_s_at,499.8,494.8,620.8,473.6,471.1,366.6,296.4,364.5,243.3,414.8,509,581.3,unknown protein
266076_at,61.3,70.9,66.7,80.9,70.7,71.5,51,121.7,137.6,57.7,47.3,48.4," ATP-dependent RNA helicase identical to GB:CAA09207, contains a DEAD/DEAH box family ATP-dependent helicas signature "
266077_at,15.2,8.5,12,12.2,15.5,15.4,11.1,11.9,8,12.1,8,10.7,putative non-LTR retroelement reverse transcriptase
266078_at,70.1,93.9,85.1,93.4,76.8,52.8,56.8,58.1,58.9,200.9,200.7,166.4,putative two-component response regulator protein  ; supported by cDNA: gi_11870067_gb_AF305721.1_AF305721
266079_at,124.3,134.9,130.7,134.1,124.3,144.2,119.2,168.4,171.2,229.5,202,187.5,unknown protein
266080_at,71.8,60.6,63.3,63.8,52.1,43.9,52.8,58.3,46.4,51.9,63.5,73.6,hypothetical protein predicted by genscan
266081_at,35.9,24.3,25.7,36.4,32.2,26.5,22.3,30.1,29.1,30.2,28.4,27.2,putative protein kinase contains a protein kinase domain profile (PDOC00100)
266082_at,19.2,9,11.2,16.5,13.1,20.2,17.3,15,12.8,15.4,18.3,16.3,hypothetical protein predicted by genscan and genefinder
266083_at,15.1,12.6,11,15.3,15.7,17.9,8.7,18.1,5,8.4,12.8,2.5,hypothetical protein predicted by genscan
266084_at,7.3,0.6,0.8,2.1,1,2.1,4.1,6.2,1.5,2.3,3.3,1.1,hypothetical protein predicted by genscan
266085_at,6.4,5.5,4.3,1.6,5.8,1.5,7.4,1.5,7.2,1.4,1,0.9,hypothetical protein
266086_at,29.9,26.9,23.2,33.1,32.2,32.4,36.5,22.5,30.5,20.7,11.5,15.1,putative Na+-dependent inorganic phosphate cotransporter
266087_at,62.5,75.7,92.8,79.1,75.8,65.3,51.5,72,81.1,92.3,153,125.9,putative alcohol dehydrogenase
266088_at,18.9,14.6,15.7,14.2,13.7,14.8,17.9,15.7,15.1,15.6,21.5,13.9,hypothetical protein predicted by genscan
266089_at,121.7,77.6,83.4,107.5,83.8,96.2,99.7,65.6,70.1,59.6,64.2,87.9,hypothetical protein predicted by genscan
266090_at,108.3,105.8,121.8,120.8,118,86.4,96,78.2,58.2,84.7,73.9,64.6,unknown protein
266091_at,42.2,52,42.8,39.3,42.7,38.8,47.1,37.5,42.7,103.9,101,111.8,hypothetical protein predicted by genscan;supported by full-length cDNA: Ceres:10987.
266092_at,4.9,9.3,11.4,10.8,5.3,4,6.3,3.7,2.9,3.1,1.6,2.8,hypothetical protein predicted by genscan and genefinder;supported by full-length cDNA: Ceres:34976.
266093_at,148.6,172,173.1,174.5,158.8,197.1,176.9,349.6,377.7,199.1,207.4,173.9,unknown protein  ;supported by full-length cDNA: Ceres:40538.
266094_at,163.4,178,181.9,178.8,179.2,166.2,182.1,176.5,153.9,129,164.9,162.7,Expressed protein ; supported by full-length cDNA: Ceres: 109069.
266095_at,132.2,115.7,119.6,118.6,128,119.4,117,111.4,160.6,85.2,93.1,96.2," 3-oxo-5-alpha-steroid 4-dehydrogenase identical to GB:U53860; contains a steroid 5-alpha reductase, C-terminal domain; supported by cDNA: gi_15028206_gb_AY045926.1_  "
266096_at,146.3,173.3,143.2,163.6,149.6,158.8,176.5,133.1,148.7,124,113,109.9,putative vacuolar protein sorting-associated protein  ; supported by cDNA: gi_15081710_gb_AY048248.1_
266097_at,207,235,249,261.9,269,210,196.3,288.4,206.7,252.3,211.4,183.8,unknown protein  ; supported by cDNA: gi_15451063_gb_AY054612.1_
266098_at,35.6,40.2,75.5,62.3,65,80.4,31.7,36.7,23.6,50.9,28.1,24,hypothetical protein predicted by genscan; supported by cDNA: gi_15451109_gb_AY054635.1_
266099_at,192.5,214.2,167.9,166,177.6,184.9,208.6,142.9,199.6,186.4,161.1,214.9,putative alpha-carboxyltransferase  ; supported by cDNA: gi_6851090_gb_AF056969.1_AF056969
266100_at,37,32.8,38.5,27.7,31,26,24.9,32.2,37,32.6,34.5,27.3,similar to axi 1 protein from Nicotiana tabacum  ; supported by cDNA: gi_13430693_gb_AF360259.1_AF360259
266101_at,304,355.5,263.7,269.9,239.5,283.6,311.1,224.8,218.4,208,201.4,164.8,unknown protein  ; supported by cDNA: gi_16604321_gb_AY058059.1_
266102_at,18.1,17.1,14.7,15.8,16.9,18.3,13.9,24.4,24.7,18.8,20,19.2,unknown protein
266103_at,299.9,328.2,303.8,264.4,318.1,315,332.7,254.5,267,224.8,315.1,319.9,putative VAMP-associated protein  ;supported by full-length cDNA: Ceres:6457.
266104_at,28.7,23.8,28.1,32.3,29,75.7,75.2,37.7,56.1,34.2,32.6,32.9,putative phosphatidate cytidylyltransferase  ; supported by cDNA: gi_15292688_gb_AY050778.1_
266105_at,767.6,869.1,761.1,605.1,624.8,550.7,665.5,544.3,594.1,763.6,591.5,532.8,putative transport protein SEC61 beta-subunit  ; supported by cDNA: gi_13878102_gb_AF370314.1_AF370314
266106_at,275.5,186.5,216.5,189,238.5,122.5,151.4,278,151.5,227.3,355.3,414.4,putative microtubule-associated protein  ; supported by cDNA: gi_15724331_gb_AF412106.1_AF412106
266107_at,3.9,1.1,3.2,1.8,2.9,1.7,5.6,2.1,3.1,4.2,9,8,hypothetical protein predicted by genscan
266108_at,7,20.2,16.9,37.4,27.9,21.8,11.7,33.7,19.2,19.5,16.1,11.6,putative peptide/amino acid transporter
266109_at,34.9,27.3,27.4,33.3,36,37.4,28,35.9,32.2,30.8,27.1,29.7,putative mitochondrial carrier protein
266110_at,78,64.3,65,72.4,73.8,71.6,56.5,80.6,95.7,73.7,77,86.3,putative C2H2-type zinc finger protein
266111_at,16.8,9,8.2,14.6,9.9,11.7,10.9,12.4,6.6,15.9,6.2,4.4,unknown protein
266112_x_at,18.5,8.4,10.3,11.5,10.2,19.9,10.9,12.9,11.4,14.1,6.1,5.1,hypothetical protein predicted by genscan
266113_x_at,1.5,0.7,4,1.6,1,3.4,1.2,3.1,3.4,3,0.3,0.5,hypothetical protein predicted by genscan
266114_at,23.7,9,12.6,16.6,16.5,17.9,20.4,18.6,19.2,11.8,22,14.6,hypothetical protein predicted by genscan
266115_at,8.2,5.3,3.8,8.1,5.2,7.9,5.4,4.9,3.9,7.5,6.4,1.1,protease inhibitor II  ;supported by full-length cDNA: Ceres:31175.
266116_at,211.7,206.1,181.8,228.8,209.5,204.7,148.2,163.1,153.8,147.9,170.3,149.2,unknown protein  ;supported by full-length cDNA: Ceres:12568.
266117_at,26.8,28.6,29.3,33.2,29.4,29,28.4,28.5,23.8,28.7,46.4,44.2,hypothetical protein  ; supported by cDNA: gi_14326557_gb_AF385733.1_AF385733
