"genes","log2FoldChange","padj","tair_symbol","description","external_gene_name","batchcorr","refgroup","logFC_scheible2004","Padj_scheible2004","logFC_nguyen2017","Padj_nguyen2017","lfcliu2020","qvalliu2020"
"AT3G54910",-0.673907739695905,0.0166539281066096,"","At3g54910 [Source:UniProtKB/TrEMBL;Acc:Q501B7]","","p","em24",NA,NA,NA,NA,0.562403804,0.001465737
"AT3G55970",2.79534675173483,0.00757860473769071,"ATJRG21","JRG21 [Source:UniProtKB/TrEMBL;Acc:A0A178V764]","JRG21","p","en2",NA,NA,NA,NA,-0.839767262,4.15e-05
"AT3G55980",1.88461790597208,0.00962486992383051,"SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","p","en24",1.15873747045085,1.51892058423561e-06,NA,NA,-1.06484726,0.001459461
"AT3G55980",-1.18704335463582,0.0264258100010777,"SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","r","nm6",1.15873747045085,1.51892058423561e-06,NA,NA,-1.06484726,0.001459461
"AT3G55980",1.38268747048862,0.0101441235879229,"SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","p","en6",1.15873747045085,1.51892058423561e-06,NA,NA,-1.06484726,0.001459461
"AT3G55980",1.47022288880892,0.0462543719259656,"SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","r","em24",1.15873747045085,1.51892058423561e-06,NA,NA,-1.06484726,0.001459461
"AT3G55980",1.73475514849588,1.98049371351362e-07,"SZF1","Salt-inducible zinc finger 1 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNJ4]","SZF1","p","em24",1.15873747045085,1.51892058423561e-06,NA,NA,-1.06484726,0.001459461
"AT3G56200",-0.473149305206854,0.0383835466070309,"","Amino acid transporter AVT6C [Source:UniProtKB/Swiss-Prot;Acc:Q9LYM2]","AVT6C","r","em2",0.664006418006906,0.00203566683178171,1.329,8.7e-05,-0.873595468,4.51e-08
"AT3G56200",-0.620602738200264,0.0159193226512263,"","Amino acid transporter AVT6C [Source:UniProtKB/Swiss-Prot;Acc:Q9LYM2]","AVT6C","p","nm2",0.664006418006906,0.00203566683178171,1.329,8.7e-05,-0.873595468,4.51e-08
"AT3G56200",-0.50053459065664,0.0364202792960066,"","Amino acid transporter AVT6C [Source:UniProtKB/Swiss-Prot;Acc:Q9LYM2]","AVT6C","p","em2",0.664006418006906,0.00203566683178171,1.329,8.7e-05,-0.873595468,4.51e-08
"AT3G57450",1.13444482682724,0.00622699880098026,"","At3g57450 [Source:UniProtKB/TrEMBL;Acc:Q9SCM7]","","p","em24",NA,NA,NA,NA,-0.775669935,0.003280047
"AT3G57470",0.833237874711552,0.0297640315918641,"","Insulin-degrading enzyme-like 2 [Source:UniProtKB/Swiss-Prot;Acc:F4J3D9]","","p","en6",-0.50021386497296,0.00198223598852886,NA,NA,0.327203964,0.03605015
"AT3G57470",-0.679549863616044,0.00393751132958076,"","Insulin-degrading enzyme-like 2 [Source:UniProtKB/Swiss-Prot;Acc:F4J3D9]","","p","em24",-0.50021386497296,0.00198223598852886,NA,NA,0.327203964,0.03605015
"AT3G57470",0.60142565024203,0.0349959115473483,"","Insulin-degrading enzyme-like 2 [Source:UniProtKB/Swiss-Prot;Acc:F4J3D9]","","p","nm2",-0.50021386497296,0.00198223598852886,NA,NA,0.327203964,0.03605015
"AT3G57750",1.02177889953408,0.00275342662220191,"","Non-functional pseudokinase ZED1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LGB6]","ZED1","p","em24",NA,NA,NA,NA,-0.7527528,4.36e-08
"AT3G58160",-0.628048345654321,0.0258885645265801,"XIJ","Myosin-16 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2K0]","XI-J","p","em24",NA,NA,NA,NA,0.476511659,0.030333399
"AT3G59080",1.29369213724925,0.0461976192971333,"","AT3g59080/F17J16_130 [Source:UniProtKB/TrEMBL;Acc:Q9LYS8]","","p","en24",NA,NA,NA,NA,-0.855531037,2.89e-07
"AT3G59080",0.748915603183576,0.0166539281066096,"","AT3g59080/F17J16_130 [Source:UniProtKB/TrEMBL;Acc:Q9LYS8]","","p","em24",NA,NA,NA,NA,-0.855531037,2.89e-07
"AT3G59310",-0.592196894270032,0.0484429142302482,"","Solute carrier family 35 protein (DUF914) [Source:UniProtKB/TrEMBL;Acc:F4J890]","","p","em24",NA,NA,NA,NA,1.072117442,3.79e-06
"AT3G62580",-0.432063094749029,0.00446763000537868,"","Late embryogenesis abundant protein (LEA) family protein [Source:UniProtKB/TrEMBL;Acc:F4IYB7]","","p","nm2",0.452027879534341,0.000492684086652871,NA,NA,-0.315452331,0.028926532
"AT3G62910",0.60044197364096,0.0191047502949074,"APG3","Peptide chain release factor APG3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RX79]","APG3","p","nm2",-1.64441506121827,1.71344511283597e-08,NA,NA,0.474428285,0.007686882
"AT4G01070",-0.596102544619724,0.00275054063856845,"GT72B1","UDP-glycosyltransferase 72B1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M156]","UGT72B1","p","em2",1.48711628649071,8.66501000124432e-08,0.961,0.0012,-2.022160338,1.36e-14
"AT4G02330",1.05688212995873,0.0183871324300685,"ATPMEPCRB","Probable pectinesterase/pectinesterase inhibitor 41 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXK7]","PME41","p","em24",NA,NA,NA,NA,1.619315676,6.56e-15
"AT4G02330",1.95651559563217,6.28293721440802e-07,"ATPMEPCRB","Probable pectinesterase/pectinesterase inhibitor 41 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXK7]","PME41","p","en24",NA,NA,NA,NA,1.619315676,6.56e-15
"AT4G02410",0.673807575242665,0.00284900495144076,"","L-type lectin-domain containing receptor kinase IV.3 [Source:UniProtKB/Swiss-Prot;Acc:O81292]","LECRK43","p","em24",1.06548108320847,9.92178543878753e-07,NA,NA,-1.075668251,3.07e-05
"AT4G02500",0.517151729945018,0.0325937475456231,"ATXT2","Xyloglucan 6-xylosyltransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:O22775]","XXT2","p","em24",NA,NA,NA,NA,0.437880948,4.39e-05
"AT4G02790",0.493933809451707,0.0312422806968444,"","DAR GTPase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8H1F6]","DGP3","p","nm2",-1.58792104604469,6.08032748298308e-08,NA,NA,0.469654936,0.000708874
"AT4G02900",-0.558959667602045,0.0328048863107044,"","Hyperosmolality-gated Ca2+ permeable channel 1.7 [Source:UniProtKB/TrEMBL;Acc:A0A097NUP8]","","p","em24",-0.325987692906499,0.0233530576342639,NA,NA,0.692709832,0.005207964
"AT4G02940",-0.567667321313458,0.000436608616501534,"","RNA demethylase ALKBH10B [Source:UniProtKB/Swiss-Prot;Acc:Q9ZT92]","ALKBH10B","p","em2",1.23563350398839,1.07917908617313e-07,1.469,0.00057,-0.93397812,5.22e-15
"AT4G02940",-0.514502780652354,0.00273612873563182,"","RNA demethylase ALKBH10B [Source:UniProtKB/Swiss-Prot;Acc:Q9ZT92]","ALKBH10B","p","nm2",1.23563350398839,1.07917908617313e-07,1.469,0.00057,-0.93397812,5.22e-15
"AT4G03030",0.439961897952253,0.0317520635274546,"","F-box/kelch-repeat protein OR23 [Source:UniProtKB/Swiss-Prot;Acc:Q0V7S6]","OR23","p","en2",0.637377634031342,2.69383682635099e-05,NA,NA,-0.365280621,0.003128835
"AT4G04350",0.6054651025158,0.0160575576822756,"EMB2369","Leucine--tRNA ligase, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9XEA0]","EMB2369","p","nm2",-1.07399472575414,2.28391691707718e-07,NA,NA,0.386202342,0.003500133
"AT4G04610",-1.1005381679368,0.00017895439710423,"APR1","5'-adenylylsulfate reductase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92979]","APR1","r+p","em2",NA,NA,NA,NA,-0.783895348,3.14e-08
"AT4G04610",-0.813886835891103,0.0252108398144068,"APR1","5'-adenylylsulfate reductase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92979]","APR1","p","nm2",NA,NA,NA,NA,-0.783895348,3.14e-08
"AT4G09020",-0.63533678530911,0.049263257332082,"ATISA3","Isoamylase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M0S5]","ISA3","p","em24",2.06885067343257,4.12368069351795e-09,1.802,0.00018,0.307935456,0.035797092
"AT4G09030",-0.666724287000119,0.0031183444580445,"AGP10","Classical arabinogalactan protein 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0S4]","AGP10","p","em2",0.638164732421574,8.72935223719372e-05,NA,NA,-1.124169156,1.42e-06
"AT4G09030",-0.536543510410729,0.00790406237364458,"AGP10","Classical arabinogalactan protein 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0S4]","AGP10","p","nm2",0.638164732421574,8.72935223719372e-05,NA,NA,-1.124169156,1.42e-06
"AT4G09890",0.612611469534242,0.0371244457408087,"","At4g09890 [Source:UniProtKB/TrEMBL;Acc:Q9T0E8]","","p","en2",1.18394224304698,9.65148633857355e-06,NA,NA,1.750112376,9.74e-33
"AT4G12880",-0.440497327975062,0.00666685008606895,"ENODL19","At4g12880 [Source:UniProtKB/TrEMBL;Acc:Q9STZ8]","ENODL19","p","nm2",-0.658789105368122,1.20757881749588e-05,NA,NA,2.063734905,5.48e-27
"AT4G13395",1.9101774504,0.0040987405540206,"DVL10","DVL10 [Source:UniProtKB/TrEMBL;Acc:Q6IM91]","DVL10","p","em24",NA,NA,NA,NA,-0.960117174,0.006975161
"AT4G13494",-0.935426059761797,0.044663036546746,NA,NA,NA,"p","em24",NA,NA,NA,NA,2.017340935,0.044080163
"AT4G13510",0.510549230771908,0.043403983342369,"AMT1;1","Ammonium transporter [Source:UniProtKB/TrEMBL;Acc:A0A178V540]","AMT1-1","p","em24",1.44581891451789,4.02400475735604e-08,0.808,0.00075,0.722627568,0.017954715
"AT4G13550",-0.375711208559207,0.0380322549595265,"","triglyceride lipases;triglyceride lipases [Source:TAIR;Acc:AT4G13550]","","p","em24",0.309242970949574,0.0225678719281407,NA,NA,-0.438975084,0.016606675
"AT4G13840",-0.399747212396164,0.0196712262542987,"","Protein ECERIFERUM 26 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVM9]","CER26","p","nm2",0.40163231478948,0.00151201910863145,NA,NA,0.934627402,7.95e-06
"AT4G14580",-0.577322512763605,0.0473646945889601,"CIPK4","CBL-interacting serine/threonine-protein kinase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUL7]","CIPK4","p","nm2",1.18148214289469,1.32049912342171e-05,NA,NA,-0.674888203,0.019463271
"AT4G14700",0.853312258849344,0.0211258496270209,"ATORC1A","Origin of replication complex subunit 1A [Source:UniProtKB/Swiss-Prot;Acc:Q710E8]","ORC1A","r","em2",NA,NA,NA,NA,2.776878123,0.009713601
"AT4G14960",0.392332224387151,0.0355870421786719,"TUA6","Tubulin alpha chain [Source:UniProtKB/TrEMBL;Acc:A0A178UXP7]","TUBA6","p","em24",-0.430299071383572,0.000560747870320499,NA,NA,0.750656256,1.3e-25
"AT4G15210",-2.39759511183603,0.0223634564940642,"ATBETA-AMY","Beta-amylase 5 [Source:UniProtKB/Swiss-Prot;Acc:P25853]","BAM5","p","nm2",NA,NA,NA,NA,-1.105552446,0.038282524
"AT4G15210",-3.56047981988758,4.66911600913889e-11,"ATBETA-AMY","Beta-amylase 5 [Source:UniProtKB/Swiss-Prot;Acc:P25853]","BAM5","r","nm2",NA,NA,NA,NA,-1.105552446,0.038282524
"AT4G15490",-0.643464104040172,0.0414511699354705,"UGT84A3","UDP-glycosyltransferase 84A3 [Source:UniProtKB/Swiss-Prot;Acc:O23401]","UGT84A3","p","en6",NA,NA,2.564,0.00012,-1.221161422,9.09e-08
"AT4G16155",0.53927709202578,0.0284290128537418,"","Dihydrolipoyl dehydrogenase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4JLP5]","LPD2","p","nm2",-1.22003563938835,4.87810377925324e-07,NA,NA,0.469999828,3.41e-05
"AT4G16765",-0.64296621270783,0.0194692591703267,"","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:A1A6I8]","","p","em24",NA,NA,NA,NA,-0.516614633,9.16e-05
"AT4G17230",0.449646969428138,0.0396958638999425,"SCL13","SCARECROW-like 13 [Source:TAIR;Acc:AT4G17230]","SCL13","p","em24",0.8822033824159,2.10513004451499e-05,NA,NA,-0.520700374,0.043868114
"AT4G17490",2.20414236167487,1.674484467526e-19,"ATERF6","Ethylene-responsive transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZ91]","ERF6","p","em24",0.524114025208171,0.00348758574212342,NA,NA,-1.72651246,3.77e-19
"AT4G17490",2.14484500735726,0.000287265552577953,"ATERF6","Ethylene-responsive transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZ91]","ERF6","p","en24",0.524114025208171,0.00348758574212342,NA,NA,-1.72651246,3.77e-19
"AT4G17490",2.62026446683137,3.96471620524944e-06,"ATERF6","Ethylene-responsive transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZ91]","ERF6","r","em24",0.524114025208171,0.00348758574212342,NA,NA,-1.72651246,3.77e-19
"AT4G17500",1.25455750030233,5.24435913313796e-06,"ATERF-1","Ethylene-responsive transcription factor 1A [Source:UniProtKB/Swiss-Prot;Acc:O80337]","ERF1A","p","em24",0.928898995124968,3.8388191880355e-05,NA,NA,-1.357002126,8.3e-17
"AT4G18370",0.514003367515644,0.0438081649466214,"DEG5","Protease Do-like 5, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SEL7]","DEGP5","p","nm2",-0.966517443021979,3.66338836251415e-06,NA,NA,0.397630006,0.038153656
"AT4G18740",0.537105590000975,0.017528341692953,"","Rho termination factor [Source:UniProtKB/TrEMBL;Acc:F4JRN0]","","p","nm2",-0.724097602492855,0.00109150471180651,NA,NA,0.519324546,0.002816627
"AT4G20110",0.79068583200329,0.00169171218563288,"VSR7","VACUOLAR SORTING RECEPTOR 7 [Source:UniProtKB/TrEMBL;Acc:F4JUS0]","VSR7","p","nm2",1.5895202758318,8.75970796741299e-09,0.733,0.0019,-0.547594912,1.5e-05
"AT4G20110",-0.638868822282844,0.015386224849021,"VSR7","VACUOLAR SORTING RECEPTOR 7 [Source:UniProtKB/TrEMBL;Acc:F4JUS0]","VSR7","p","en2",1.5895202758318,8.75970796741299e-09,0.733,0.0019,-0.547594912,1.5e-05
"AT4G20830",0.931312843123902,0.000107361321732557,"","Berberine bridge enzyme-like 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVG4]","","p","em24",1.11804977575037,9.0893755466029e-05,1.138,0.00093,-0.759151523,0.00039785
"AT4G20830",1.41360624480778,0.00420186131710461,"","Berberine bridge enzyme-like 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9SVG4]","","p","en24",1.11804977575037,9.0893755466029e-05,1.138,0.00093,-0.759151523,0.00039785
"AT4G20860",0.55087123596978,0.00991388919120298,"","Berberine bridge enzyme-like 22 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUC6]","FAD-OXR","p","em24",1.04369500721451,1.70098452482667e-06,0.866,0.0038,-0.969759208,2.73e-08
"AT4G21400",-0.912402281234382,0.0050515801145451,"CRK28","Cysteine-rich receptor-like protein kinase 28 [Source:UniProtKB/Swiss-Prot;Acc:O65405]","CRK28","p","em24",NA,NA,NA,NA,-0.681860361,3.07e-06
"AT4G21400",0.675863697780059,0.0423101326568206,"CRK28","Cysteine-rich receptor-like protein kinase 28 [Source:UniProtKB/Swiss-Prot;Acc:O65405]","CRK28","p","en6",NA,NA,NA,NA,-0.681860361,3.07e-06
"AT4G21850",0.962547083346973,0.00646897028516169,"ATMSRB9","MSRB9 [Source:UniProtKB/TrEMBL;Acc:A0A178V287]","MSRB9","p","em24",1.78150805401589,8.88471597342453e-08,NA,NA,0.987557943,0.004548371
"AT4G21960",-0.581858093133525,0.00296461145295515,"PRXR1","Peroxidase 42 [Source:UniProtKB/Swiss-Prot;Acc:Q9SB81]","PER42","p","nm2",0.728872254581153,1.04585126390087e-06,NA,NA,-0.48191365,0.044417049
"AT4G23180",0.71314947894661,0.00267080845889496,"CRK10","Cysteine-rich receptor-like protein kinase 10 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYA4]","CRK10","p","em24",0.986644710120563,1.09793369171492e-05,NA,NA,0.950640242,9.7e-05
"AT4G23180",1.21127431968584,0.0328612621981636,"CRK10","Cysteine-rich receptor-like protein kinase 10 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYA4]","CRK10","p","en24",0.986644710120563,1.09793369171492e-05,NA,NA,0.950640242,9.7e-05
"AT4G24050",0.76251467168656,0.0356774337176783,"","AT4g24050/T19F6_40 [Source:UniProtKB/TrEMBL;Acc:O22985]","","p","nm2",-0.31048753714602,0.0201159642193957,NA,NA,-0.534432014,0.045566922
"AT4G24570",1.94992134811866,0.00105141609741758,"DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]","PUMP4","p","en6",NA,NA,NA,NA,-1.903861176,6.61e-11
"AT4G24570",2.14121374878831,7.19300089501131e-11,"DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]","PUMP4","p","em24",NA,NA,NA,NA,-1.903861176,6.61e-11
"AT4G24570",2.01529042281252,0.00458468620930813,"DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]","PUMP4","p","en24",NA,NA,NA,NA,-1.903861176,6.61e-11
"AT4G24570",2.23250260420413,0.000228640043255492,"DIC2","DIC2 [Source:UniProtKB/TrEMBL;Acc:A0A178URN9]","PUMP4","r","em24",NA,NA,NA,NA,-1.903861176,6.61e-11
"AT4G25280",-0.839291755066279,0.000702915131131756,"","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT4G25280]","UMK2","p","em24",NA,NA,NA,NA,0.506003948,0.000341168
"AT4G25630",-0.360516410886952,0.0209426344460697,"FIB2","Mediator of RNA polymerase II transcription subunit 36a [Source:UniProtKB/Swiss-Prot;Acc:Q94AH9]","MED36A","p","nm2",-0.638034488027477,5.40059476296576e-05,NA,NA,0.607378607,5.97e-07
"AT4G27410",0.753929226188733,0.00786477420185975,"RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JIU9]","RD26","p","em2",NA,NA,NA,NA,-1.301872822,4.03e-11
"AT4G27410",1.01329304954296,0.0154427146596293,"RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JIU9]","RD26","p","en6",NA,NA,NA,NA,-1.301872822,4.03e-11
"AT4G27410",0.984023084442717,0.0309260215910635,"RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JIU9]","RD26","r","en2",NA,NA,NA,NA,-1.301872822,4.03e-11
"AT4G27410",1.13511114232008,2.09288899449159e-06,"RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JIU9]","RD26","r","em2",NA,NA,NA,NA,-1.301872822,4.03e-11
"AT4G27410",1.10102668385763,1.07506492507943e-06,"RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4JIU9]","RD26","p","en2",NA,NA,NA,NA,-1.301872822,4.03e-11
"AT4G27657",1.18644481356146,0.0436577116853689,"","At4g27657 [Source:UniProtKB/TrEMBL;Acc:Q8LF18]","","p","em24",NA,NA,NA,NA,-1.664503982,0.008626036
"AT4G28270",0.648825264190132,0.0205933492001955,"ATRMA2","E3 ubiquitin-protein ligase RMA2 [Source:UniProtKB/Swiss-Prot;Acc:P93030]","RMA2","p","em2",0.628589197351584,7.99804200338378e-05,NA,NA,0.515504421,0.003569221
"AT4G28703",1.34373045160761,0.0320073405470811,"","RmlC-like cupins superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q8LAH4]","","p","en2",NA,NA,NA,NA,-1.287113882,7.39e-08
"AT4G29190",0.904670661894691,0.00064466694404521,"","Zinc finger CCCH domain-containing protein 49 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0G2]","","p","en2",0.456744505376202,0.00671912217275637,NA,NA,-0.241702236,0.036317773
"AT4G29720",-0.63919824449332,0.0248745498632409,"ATPAO5","Probable polyamine oxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SU79]","PAO5","p","en6",-0.650196279174457,0.000127692058635662,NA,NA,0.708619309,0.000436543
"AT4G29750",0.642578197302354,0.0284687090620333,"","CRS1 / YhbY (CRM) domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4JNR2]","","p","nm2",-0.881540302533659,2.98925023717688e-05,NA,NA,0.629712553,1.11e-05
"AT4G30190",0.504535048038506,0.00586528107849919,"HA2","Plasma membrane ATPase [Source:UniProtKB/TrEMBL;Acc:F4JPJ7]","HA2","p","em24",0.604144334243314,4.93119915415993e-05,NA,NA,-0.739897718,2.77e-18
"AT4G30690",-0.654818752908091,0.00117880160635095,"","Translation initiation factor IF3-4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q94B52]","IF3-4","p","em24",-0.991616683971477,1.37744557943806e-05,NA,NA,0.330438675,0.012074301
"AT4G30690",0.478406024401589,0.0113279751149319,"","Translation initiation factor IF3-4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q94B52]","IF3-4","p","nm2",-0.991616683971477,1.37744557943806e-05,NA,NA,0.330438675,0.012074301
"AT4G30960",-0.472012358360125,0.0359854069853479,"CIPK6","CBL-interacting serine/threonine-protein kinase 6 [Source:UniProtKB/Swiss-Prot;Acc:O65554]","CIPK6","p","nm2",0.831164464469672,1.88840697406467e-06,NA,NA,-0.41461094,0.001630643
"AT4G31210",0.498159922502774,0.0471249451762371,"","DNA topoisomerase, type IA, core [Source:UniProtKB/TrEMBL;Acc:F4JRX3]","","p","nm2",-1.07875701173947,4.19798281332361e-06,NA,NA,0.46760847,3.74e-08
"AT4G31550",0.614336823215468,0.0399411557457278,"WRKY11","Probable WRKY transcription factor 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9SV15]","WRKY11","p","en6",0.93922478859377,2.51070296985546e-06,0.715,0.0019,-0.54729439,0.008329181
"AT4G32020",0.94097012075158,0.000245990320598589,"","AT4g32020/F10N7_170 [Source:UniProtKB/TrEMBL;Acc:O49389]","","p","em24",0.295048422294671,0.0309902376195983,NA,NA,-0.561662669,4.39e-05
"AT4G32650",0.615081259601427,0.0376911071753482,"ATKC1","KC1 [Source:UniProtKB/TrEMBL;Acc:A0A178UVX9]","KAT3","p","nm2",0.683974037319944,2.19067869328314e-05,NA,NA,-0.569536028,0.003082122
"AT4G33625",-0.490486539380173,0.00397681118459003,"","At4g33625 [Source:UniProtKB/TrEMBL;Acc:Q8GXK1]","","p","em24",NA,NA,NA,NA,0.617498584,0.000141633
"AT4G33980",0.790200126961842,0.00178837420471355,"","BEST Arabidopsis thaliana protein match is: cold regulated gene 27 (TAIR:AT5G42900.2); Ha. [Source:TAIR;Acc:AT4G33980]","","p","en6",NA,NA,NA,NA,0.626095893,0.011706921
"AT4G34050",-0.428118633189737,0.00782072832830553,"CCoAOMT1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:TAIR;Acc:AT4G34050]","CCoAOMT1","p","nm2",0.610634169620482,7.68593436019514e-06,1.11,0.0011,-1.01912921,2.69e-07
"AT4G34150",0.826105595342537,0.00435017578309279,"","AT4g34150/F28A23_90 [Source:UniProtKB/TrEMBL;Acc:Q945K9]","","p","em24",0.814489932149599,3.1769583186613e-05,NA,NA,-0.519612484,0.03246069
"AT4G34200",-0.429038860921617,0.0211908152092844,"EDA9","D-3-phosphoglycerate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178UWV4]","PGDH1","p","em2",NA,NA,NA,NA,-1.342471612,2.97e-54
"AT4G34200",-0.591170538491192,0.000163209693960029,"EDA9","D-3-phosphoglycerate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178UWV4]","PGDH1","p","nm2",NA,NA,NA,NA,-1.342471612,2.97e-54
"AT4G34610",0.499060021348245,0.001408415601289,"BLH6","BEL1-like homeodomain protein 6 [Source:UniProtKB/Swiss-Prot;Acc:O65685]","BLH6","p","nm2",-0.733909805057672,9.1370757913225e-05,NA,NA,-0.613989487,0.043477457
"AT4G34950",-1.4434878088531,0.00179701270872897,"","Major facilitator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SW40]","","p","em2",-0.858544717910008,2.2140743806019e-05,NA,NA,0.709677992,0.003151207
"AT4G34950",-1.03536573617109,1.16649498496771e-08,"","Major facilitator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SW40]","","r","em2",-0.858544717910008,2.2140743806019e-05,NA,NA,0.709677992,0.003151207
"AT4G34950",-0.872109217342767,0.0254455323345396,"","Major facilitator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SW40]","","p","en6",-0.858544717910008,2.2140743806019e-05,NA,NA,0.709677992,0.003151207
"AT4G34950",-0.929843189758206,0.0332837945165757,"","Major facilitator superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SW40]","","p","en2",-0.858544717910008,2.2140743806019e-05,NA,NA,0.709677992,0.003151207
"AT4G35630",1.31963344913912,0.00721867302850414,"PSAT","Phosphoserine aminotransferase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q96255]","PSAT1","p","en24",0.792360473617718,1.32606455732516e-06,NA,NA,-0.921429771,1.26e-08
"AT4G35630",0.803947316608829,0.0166539281066096,"PSAT","Phosphoserine aminotransferase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q96255]","PSAT1","p","em24",0.792360473617718,1.32606455732516e-06,NA,NA,-0.921429771,1.26e-08
"AT4G35750",-0.410388804481658,0.0359585934255903,"","At4g35750 [Source:UniProtKB/TrEMBL;Acc:O81806]","","p","nm2",NA,NA,NA,NA,-0.328451073,0.028631798
"AT4G35770",1.37544528807048,0.0317850932154706,"SEN1","SEN1 [Source:UniProtKB/TrEMBL;Acc:A0A178UYD5]","STR15","r","em2",-1.32567807686754,0.00166019560196687,NA,NA,-0.33451784,0.014571336
"AT4G35780",-0.476486627253757,0.0380358916924654,"","Serine/threonine-protein kinase STY17 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWL6]","STY17","p","em24",NA,NA,NA,NA,0.351210325,0.003832322
"AT4G36040",0.685874774251469,0.000130474766249534,"","At4g36040 [Source:UniProtKB/TrEMBL;Acc:Q1H544]","ATJ11","r","em2",0.328815418483018,0.0147543355018924,NA,NA,-0.319506412,0.01644992
"AT4G36270",-0.805837408842757,0.045203918997647,"","ATP binding [Source:TAIR;Acc:AT4G36270]","","p","em24",NA,NA,NA,NA,0.944986075,0.041124029
"AT4G36500",1.26647815951711,7.75361417916706e-05,"","Uncharacterized protein At4g36500 [Source:UniProtKB/TrEMBL;Acc:O23231]","","p","em24",0.80218165142847,2.61325356634969e-05,NA,NA,-0.815571184,0.011023447
"AT4G36780",-0.371093208734851,0.0273424761000494,"BEH2","BES1/BZR1 homolog 2 [Source:TAIR;Acc:AT4G36780]","BEH2","p","nm2",NA,NA,NA,NA,-3.188028998,4.52e-98
